m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
436, 1030034, 5042, 2374, 876, 2374, 2350, 9
437, 564067, 5461, 2374, 878, 2374, 2350, 10
438, 518992, 5756, 2638, 878, 2638, 2624, 4
439, 2009501, 5633, 2374, 882, 2374, 2350, 10
440, 2109826, 5398, 2374, 884, 2374, 2350, 9
441, 331741, 4982, 2638, 884, 2638, 2624, 4
442, 912771, 5707, 2374, 888, 2374, 2350, 9
443, 55585, 4101, 2042, 444, 2042, 2028, 4
444, 2545168, 5806, 2374, 892, 2374, 2350, 10
445, 83326, 5028, 2638, 892, 2638, 2624, 4
446, 1006981, 5213, 2042, 447, 2042, 2028, 4
447, 958701, 5517, 2374, 898, 2374, 2350, 10
448, 369498, 5588, 2374, 900, 2374, 2350, 10
449, 2108309, 5666, 2638, 900, 2638, 2624, 4
450, 833545, 5724, 2638, 902, 2638, 2624, 4
451, 1691743, 5496, 2638, 904, 2638, 2624, 5
452, 380767, 5215, 2642, 454, 2642, 2616, 7
453, 12267383, 5868, 2374, 454, 2374, 2366, 3
454, 1389929, 5791, 2638, 910, 2638, 2624, 5
455, 2523069, 5906, 2374, 914, 2374, 2350, 10
456, 1234633, 5462, 2518, 457, 2518, 2512, 3
457, 531436, 5468, 2638, 916, 2638, 2624, 4
458, 199703, 5586, 2638, 918, 2638, 2624, 4
459, 684691, 5987, 2374, 460, 2374, 2366, 3
460, 4418202, 5906, 2642, 462, 2642, 2616, 7
461, 1623424, 5791, 2638, 924, 2638, 2624, 4
462, 156642, 6130, 2638, 926, 2638, 2624, 4
463, 4357516, 5942, 2042, 464, 2042, 2028, 4
464, 565532, 5714, 2638, 930, 2638, 2624, 4
465, 1013099, 5876, 2638, 932, 2638, 2624, 5
466, 856473, 6202, 2638, 934, 2638, 2624, 4
467, 4390673, 5840, 2638, 936, 2638, 2624, 4
468, 1288702, 5876, 2638, 938, 2638, 2624, 5
469, 808450, 5932, 2638, 940, 2638, 2624, 4
470, 1099186, 5876, 2638, 942, 2638, 2624, 4
471, 519012, 5752, 2642, 473, 2642, 2618, 8
472, 5234439, 6126, 2642, 474, 2642, 2616, 7
473, 6180992, 5962, 2638, 948, 2638, 2624, 5
474, 130060, 5752, 2638, 950, 2638, 2624, 4
475, 1582871, 6198, 2642, 477, 2642, 2616, 7
476, 4010144, 6122, 3858, 10049, 3918, 3750, 83
477, 12374512, 6242, 2638, 956, 2638, 2624, 4
478, 9953934, 6238, 2638, 958, 2638, 2624, 4
479, 654295, 6275, 2638, 960, 2638, 2624, 5
480, 1293608, 5962, 2642, 482, 2642, 2618, 8
481, 2241294, 5816, 2642, 483, 2642, 2618, 8
482, 3489586, 6546, 2638, 966, 2638, 2624, 5
483, 3695937, 6103, 2638, 968, 2638, 2624, 4
484, 2621663, 6194, 2642, 486, 2642, 2618, 8
485, 2087868, 6346, 2374, 974, 2374, 2350, 10
486, 3848506, 6114, 2638, 974, 2638, 2624, 4
487, 3183421, 6418, 4082, 976, 4086, 4074, 5
488, 9999467, 6822, 2642, 490, 2642, 2616, 7
489, 4206742, 6620, 2638, 980, 2638, 2624, 4
490, 2802316, 6242, 2374, 491, 2374, 2366, 3
491, 1601986, 5948, 2638, 984, 2638, 2624, 4
492, 799283, 6725, 2374, 988, 2374, 2350, 9
493, 13909143, 6431, 2638, 988, 2638, 2624, 4
494, 15872190, 6428, 2638, 990, 2638, 2624, 4
495, 2371687, 6425, 2638, 992, 2638, 2624, 5
496, 2211468, 6391, 2638, 994, 2638, 2624, 4
497, 4921354, 6425, 4082, 996, 4086, 4074, 5
498, 7095894, 6391, 2638, 998, 2638, 2624, 4
499, 1884917, 6689, 2638, 1000, 2638, 2624, 4
500, 2517207, 6988, 2638, 1002, 2638, 2624, 4
501, 9166674, 6418, 2642, 503, 2642, 2618, 8
502, 13325612, 6378, 2642, 504, 2642, 2618, 8
503, 2988441, 6794, 2638, 1008, 2638, 2624, 5
