m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
16,654,449060757376771375,0,220,151,17,112,118,4,112;114;116;118
25,1344,1108006634843079072,0,5350,309,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,655,10737611546660801595,0,180,224,34,76,82,4,76;78;80;82
49,628,2812730999741319994,0,1458,714,50,196,201,2,196;201
16,656,4801369024899167563,0,130,214,17,112,118,3,112;114;118
49,796,10575222286404722192,0,1756,948,50,300,314,4,300;306;310;314
49,1121,10747101621183958784,0,5356,630,50,350,358,4,350;354;356;358
25,1345,14583717283196713657,0,973,222,26,186,188,2,186;188
49,629,4345275898589166309,0,549,1725,50,350,358,4,350;354;356;358
16,657,8609577072291499214,0,585,124,287,66,82,8,66;68;70;72;74;76;78;82
16,658,8726979044426934347,0,129,118,17,112,118,4,112;114;116;118
49,630,2565411952803253881,0,1651,1088,51,198,214,5,198;204;206;212;214
16,659,12794171565608808200,0,199,172,17,112,118,4,112;114;116;118
25,305,5690888275786561481,0,3517,276,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
25,1346,3195041350885731266,0,710,206,445,180,206,10,180;184;186;188;190;192;194;198;202;206
16,660,3643166957637703366,0,324,161,17,112,118,4,112;114;116;118
125,1756,12583642790291521382,0,42755,3208,6426,810,838,9,810;812;818;820;822;824;828;834;838
49,332,16175455394667280687,0,5221,1267,50,300,314,4,300;306;310;314
25,1347,10837774748130048749,0,453,355,26,180,194,3,180;190;194
16,661,5936348953934536881,0,251,117,18,84,94,4,84;86;92;94
25,306,2829593647940181233,0,826,565,26,112,118,3,112;114;118
16,662,4526992378523765692,0,102,269,17,112,118,4,112;114;116;118
49,631,5086942210422148284,0,1993,588,50,196,201,2,196;201
49,333,1638146869082956536,0,516,756,50,350,358,4,350;354;356;358
25,307,10197940024366894229,0,253,274,52,172,178,4,172;174;176;178
16,663,3258050110421049871,0,364,242,17,112,118,4,112;114;116;118
49,632,9485046018037917490,0,294,896,50,350,358,4,350;354;356;358
16,664,1055113043433267645,0,161,182,17,112,118,4,112;114;116;118
16,665,5260014702516409159,0,384,216,34,76,82,4,76;78;80;82
25,308,11762143499181830037,0,1167,537,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,666,14913125699008193312,0,161,128,17,112,118,4,112;114;116;118
25,309,11660070660039923991,0,169,294,52,172,178,4,172;174;176;178
16,667,15061727415983913907,0,235,174,17,112,118,4,112;114;116;118
25,310,6188321616594287919,0,165,355,26,114,118,3,114;116;118
16,668,9081359325221505727,0,189,215,17,112,118,4,112;114;116;118
25,1348,5291619614469775752,0,3716,279,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,669,3616539916233581897,0,687,153,17,112,118,4,112;114;116;118
25,311,16514604521390573850,0,847,239,27,150,166,5,150;156;158;164;166
49,797,18119619551486096546,0,8209,1167,1550,286,302,7,286;290;292;294;296;298;302
25,312,15060650885284467525,0,853,266,27,150,166,5,150;156;158;164;166
16,670,4277167242244384588,0,560,133,287,66,82,8,66;68;70;72;74;76;78;82
49,633,6109375739845929789,0,7665,1382,50,300,314,4,300;306;310;314
16,671,2024937759908405127,0,426,347,17,112,118,4,112;114;116;118
