m,realised_K,n_admissible,pos_index,min_admissible_K,max_admissible_K
966,6242,283,32,3373,16446
967,6242,323,37,3373,16446
968,6242,306,37,1951,16446
969,6242,295,34,3373,16446
970,6222,297,37,3373,16472
972,6242,299,32,3373,16446
975,7562,295,57,3373,16472
976,6242,298,36,3373,16446
977,6222,322,32,3373,16470
978,6222,290,33,3373,16446
980,6242,284,34,3373,16472
981,5162,301,16,3373,16446
982,6242,304,35,3373,16446
983,6222,306,33,3373,16446
985,6242,301,34,3373,16472
986,6242,296,33,3373,16446
987,6242,299,30,3373,16446
988,6242,299,39,3373,16446
990,6242,279,32,3373,16472
993,6242,299,29,3373,16446
994,6222,291,33,3373,16446
1000,6242,295,32,3373,16472
1007,6242,318,30,3373,16446
1008,6222,285,29,3373,16446
1016,6242,297,31,3373,16446
1021,6222,305,29,3373,16446
1029,6242,282,27,3373,16446
1031,6242,302,28,3373,16488
1037,6242,308,27,3373,16488
1040,6242,289,26,3373,16488
1065,6222,270,24,3373,16488
1071,8570,277,71,3373,16488
1076,6242,282,25,3373,16488
1086,8736,270,76,3373,16488
1091,6242,289,24,3373,16488
1100,7562,264,51,3373,16488
1101,9040,269,75,3373,16488
1104,8880,259,72,3373,16488
1105,6242,270,25,3373,16488
1106,6242,271,23,3373,16488
1107,8880,277,76,3373,16488
1108,8880,276,80,3373,16488
1109,6242,275,25,3373,16488
1111,6242,284,27,3373,16488
1114,9410,269,85,3373,16488
1115,6222,275,23,3373,16488
1116,6242,259,24,3373,16488
1118,6242,272,25,3373,16488
1119,6242,266,23,3373,16488
1120,6242,255,25,3373,16488
1122,6242,268,23,3373,16488
1123,6242,278,27,3373,16488
1124,6242,274,26,3373,16488
